Infront-name;Yahoo finance name
LMKG;LMKG.ST
LOGI-A;LOGI-A.ST
LOGI-B;LOGI-B.ST
LOGIST;LOGIST.ST
LOHILO;LOHILO.ST
LOOMIS;LOOMIS.ST
LOVE-B;LOVE-B.ST
LOVI;LOVI.ST
LOYAL;LOYAL.ST
LPGO;LPGO.ST
LPGO-BTU;LPGO-BTU.ST
LPGO-UR;LPGO-UR.ST
LUC;LUC.ST
LUG;LUG.ST
LUMEN;LUMEN.ST
LUMI;LUMI.ST
LUMITO;LUMITO.ST
LUND-B;LUND-B.ST
LXB;LXB.ST
LYGRD;LYGRD.ST
LYKO-A;LYKO-A.ST
M8G;M8G.ST
MACK-B;MACK-B.ST
MAGI;MAGI.ST
MAGLE;MAGLE.ST
MAHA-A;MAHA-A.ST
MAHVIE;MAHVIE.ST
MAHVIE-TO1;MAHVIE-TO1.ST
MALAR;MALAR.ST
MANG;MANG.ST
MANTEX;MANTEX.ST
MAV;MAV.ST
MAV-TO-3;MAV-TO-3.ST
MAVEN;MAVEN.ST
MBBAB;MBBAB.ST
MBRS;MBRS.ST
MCAP;MCAP.ST
MCLR;MCLR.ST
MCLR-TO2;MCLR-TO2.ST
MCOV-B;MCOV-B.ST
ME;ME.ST
MEAB-B;MEAB-B.ST
MEDF;MEDF.ST
MEDF-TO-2;MEDF-TO-2.ST
MEDHLP;MEDHLP.ST
MEDIMI;MEDIMI.ST
MEDIMI-BTU;MEDIMI-BTU.ST
MEDIMI-TO-6;MEDIMI-TO-6.ST
MEDIMI-TO-7;MEDIMI-TO-7.ST
MEDIMI-UR;MEDIMI-UR.ST
MEGR;MEGR.ST
MEKO;MEKO.ST
MESTRO;MESTRO.ST
META;META.ST
MFA;MFA.ST
MIDS;MIDS.ST
MIDS-BTU;MIDS-BTU.ST
MIDS-UR;MIDS-UR.ST
MIDW-A;MIDW-A.ST
MIDW-B;MIDW-B.ST
MILDEF;MILDEF.ST
MINEST;MINEST.ST
MIPS;MIPS.ST
MIR;MIR.ST
MISE;MISE.ST
MLTR;MLTR.ST
MMGR-B;MMGR-B.ST
MNDRK;MNDRK.ST
MNTC;MNTC.ST
MOB;MOB.ST
MOBA;MOBA.ST
MODEL-B;MODEL-B.ST
MODI;MODI.ST
MODTX;MODTX.ST
MOFAST;MOFAST.ST
MOMENT;MOMENT.ST
MONI;MONI.ST
MONI-BTU;MONI-BTU.ST
MONI-TO-2;MONI-TO-2.ST
MONI-UR;MONI-UR.ST
MOV;MOV.ST
MOV-TO2;MOV-TO2.ST
MPOS;MPOS.ST
MPOS-BTA;MPOS-BTA.ST
MPOS-TR;MPOS-TR.ST
MSAB-B;MSAB-B.ST
MSON-A;MSON-A.ST
MSON-B;MSON-B.ST
MTG-A;MTG-A.ST
MTG-B;MTG-B.ST
MTI;MTI.ST
MTRS;MTRS.ST
MVIR-B;MVIR-B.ST
MYBEAT;MYBEAT.ST
MYBEAT-TO-1;MYBEAT-TO-1.ST
MYCR;MYCR.ST
N55;N55.ST
NAIG-B;NAIG-B.ST
NANEXA;NANEXA.ST
NANOC-B;NANOC-B.ST
NANOCAP-B;NANOCAP-B.ST
NANOFS;NANOFS.ST
NATTA;NATTA.ST
NATTA-TO-1;NATTA-TO-1.ST
NAXS;NAXS.ST
NBZ;NBZ.ST
NCAB;NCAB.ST
NCC-A;NCC-A.ST
NCC-B;NCC-B.ST
NDA-SE;NDA-SE.ST
NELLY;NELLY.ST
NELLY-BTA;NELLY-BTA.ST
NEOBO;NEOBO.ST
NEOD;NEOD.ST
NEOLA;NEOLA.ST
NEPA;NEPA.ST
NETEL;NETEL.ST
NETI-B;NETI-B.ST
NETM-B;NETM-B.ST
NEWA-B;NEWA-B.ST
NEWBRY;NEWBRY.ST
NEXAM;NEXAM.ST
NFGAB;NFGAB.ST
NFO;NFO.ST
NG;NG.ST
NGENIC;NGENIC.ST
NGS;NGS.ST
NIBE-B;NIBE-B.ST
NICA;NICA.ST
NICO;NICO.ST
NICO-TO-1;NICO-TO-1.ST
NIL-B;NIL-B.ST
NILAR;NILAR.ST
NILS;NILS.ST
NIMU;NIMU.ST
NIO;NIO.ST
NIS;NIS.ST
NITRO;NITRO.ST
NIVI-B;NIVI-B.ST
NJOB;NJOB.ST
NMAN;NMAN.ST
NNH;NNH.ST
NOBI;NOBI.ST
NODE;NODE.ST
NOKIA-SEK;NOKIA-SEK.ST
NOLA-B;NOLA-B.ST
NORB-B;NORB-B.ST
NORDIG;NORDIG.ST
NORSE;NORSE.ST
NORVA;NORVA.ST
NOSA;NOSA.ST
NOSIUM-B;NOSIUM-B.ST
NOTE;NOTE.ST
NOTEK;NOTEK.ST
NOVU;NOVU.ST
NOWO;NOWO.ST
NOWO-TO2;NOWO-TO2.ST
NOWO-TO3;NOWO-TO3.ST
NP3;NP3.ST
NP3-PREF;NP3-PREF.ST
NPAPER;NPAPER.ST
NTEK-B;NTEK-B.ST
NWG;NWG.ST
NXAR;NXAR.ST
NXTCL;NXTCL.ST
NXTMS;NXTMS.ST
NYF;NYF.ST
NYTTO;NYTTO.ST
NYTTO-PREF;NYTTO-PREF.ST
OBAB;OBAB.ST
OBDU-B;OBDU-B.ST
OBDU-PREF-B;OBDU-PREF-B.ST
OBDU-TO15B;OBDU-TO15B.ST
OBST;OBST.ST
ODI;ODI.ST
ODIN;ODIN.ST
OEM-B;OEM-B.ST
OGUN-B;OGUN-B.ST
OMNI;OMNI.ST
ONCO;ONCO.ST
ONCOZ;ONCOZ.ST
ONEF;ONEF.ST
OP;OP.ST
OP-PREF;OP-PREF.ST
OP-PREFB;OP-PREFB.ST
OP-TO1;OP-TO1.ST
OPT;OPT.ST
OPTER;OPTER.ST
OPTI;OPTI.ST
OPTI-TO-5;OPTI-TO-5.ST
OPTI-TO-6;OPTI-TO-6.ST
ORES;ORES.ST
ORGC;ORGC.ST
ORRON;ORRON.ST
ORT-B;ORT-B.ST
ORT-B;ORT-B.ST
ORT-TO-2-B;ORT-TO-2-B.ST
ORTI-A;ORTI-A.ST
ORTI-B;ORTI-B.ST
ORX;ORX.ST
OSSD;OSSD.ST
OURLIV;OURLIV.ST
OVZON;OVZON.ST
OX2;OX2.ST
OXE;OXE.ST
